date,open,high,low,close,volume_btc,volume_usd
2020-04-10,7315.25,7315.25,7315.25,7315.25,0,0
2020-04-09,7369.6,7378.85,7115.04,7315.25,2237,16310014
2020-04-08,7201.81,7432.23,7152.8,7369.6,2483,18138080
2020-04-07,7336.96,7468.42,7078.0,7201.81,2333,17047120
2020-04-06,6775.21,7369.76,6771.01,7336.96,3727,26533750
2020-04-05,6870.2,6907.9,6678.6,6775.21,1275,8662210
2020-04-04,6740.88,7016.0,6658.68,6870.2,1671,11383223
2020-04-03,6801.0,7048.72,6609.47,6740.88,2881,19692803
2020-04-02,6666.16,7273.0,6579.69,6801.0,5345,36577028
2020-04-01,6428.54,6714.76,6156.47,6666.16,2759,17697565
2020-03-31,6406.91,6530.83,6341.25,6428.54,1459,9418155
2020-03-30,5882.7,6629.18,5857.41,6406.91,3108,19612581
2020-03-29,6258.01,6283.41,5873.93,5882.7,1827,11038076
2020-03-28,6378.4,6378.4,6038.09,6258.01,2087,12958586
2020-03-27,6728.44,6869.5,6268.5,6378.4,2571,17079624
2020-03-26,6694.73,6793.19,6530.01,6728.44,2182,14548179
2020-03-25,6775.57,6977.69,6471.08,6694.73,4931,32952771
2020-03-24,6500.0,6866.7,6405.0,6775.57,6957,46293922
2020-03-23,5839.44,6650.0,5689.92,6500.0,8255,51170869
2020-03-22,6208.45,6416.5,5748.14,5839.44,4005,24126014
2020-03-21,6205.18,6464.21,5863.67,6208.45,3239,19987972
2020-03-20,6191.02,6961.65,5660.77,6205.18,8626,55231382
2020-03-19,5420.45,6436.99,5270.0,6191.02,8994,53179189
2020-03-18,5343.07,5450.0,5019.72,5420.45,5301,27947785
2020-03-17,5035.56,5563.18,4929.59,5343.07,6392,33945915
2020-03-16,5343.45,5350.72,4428.83,5035.56,13639,66652878
2020-03-15,5169.05,5987.11,5091.43,5343.45,5471,29486778
2020-03-14,5653.03,5780.0,5051.95,5169.05,3360,18050549
2020-03-13,4830.45,6000.0,3901.25,5653.03,18950,96600762
2020-03-12,7935.49,7966.08,4600.0,4830.45,18359,110860932
2020-03-11,7881.02,8020.0,7590.62,7935.49,2011,15747210
2020-03-10,7932.95,8153.88,7705.0,7881.02,3513,27958201
2020-03-09,8038.84,8183.18,7310.0,7932.95,5179,40591741
2020-03-08,8902.65,8905.05,8000.02,8038.84,1824,15265287
2020-03-07,9158.02,9225.0,8862.5,8902.65,659,5972639
2020-03-06,9067.35,9180.5,9012.02,9158.02,683,6223958
2020-03-05,8757.05,9168.62,8755.24,9067.35,1800,16307189
