date,market_cap,market_volume
2013-04-28,1575449984,0
2013-04-29,1675190016,0
2013-04-30,1619559936,0
2013-05-01,1402989952,0
2013-05-02,1315340032,0
2013-05-03,1105149952,0
2013-05-04,1348720000,0
2013-05-05,1375699968,0
2013-05-06,1300349952,0
2013-05-07,1274419968,0
2013-05-08,1335149952,0
2013-05-09,1330179968,0
2013-05-10,1391299968,0
2013-05-11,1356610048,0
2013-05-12,1359920000,0
2013-05-13,1365900032,0
2013-05-14,1350889984,0
2013-05-15,1348179968,0
2013-05-16,1358960000,0
2013-05-17,1443719936,0
2013-05-18,1456780032,0
2013-05-19,1419440000,0
2013-05-20,1447820032,0
2013-05-21,1438589952,0
2013-05-22,1447200000,0
2013-05-23,1476480000,0
2013-05-24,1533260032,0
2013-05-25,1536920064,0
2013-05-26,1585619968,0
2013-05-27,1508080000,0
2013-05-28,1513570048,0
2013-05-29,1553200000,0
2013-05-30,1502599936,0
2013-05-31,1493939968,0
2013-06-01,1510279936,0
2013-06-02,1406339968,0
2013-06-03,1431629952,0
2013-06-04,1428269952,0
2013-06-05,1427209984,0
2013-06-06,1412060032,0
2013-06-07,1318800000,0
2013-06-08,1286630016,0
2013-06-09,1202759936,0
2013-06-10,1253709952,0
2013-06-11,1266380032,0
2013-06-12,1278060032,0
2013-06-13,1269190016,0
2013-06-14,1176179968,0
2013-06-15,1176920064,0
2013-06-16,1168519936,0
2013-06-17,1202680064,0
2013-06-18,1246710016,0
2013-06-19,1259660032,0
2013-06-20,1314620032,0
2013-06-21,1298439936,0
2013-06-22,1307869952,0
2013-06-23,1276720000,0
2013-06-24,1223040000,0
2013-06-25,1222530048,0
2013-06-26,1251810048,0
2013-06-27,1228390016,0
2013-06-28,1143129984,0
2013-06-29,1154889984,0
2013-06-30,1171469952,0
2013-07-01,1071960000,0
2013-07-02,1085350016,0
2013-07-03,1005480000,0
2013-07-04,986305024,0
2013-07-05,870001984,0
2013-07-06,839560000,0
2013-07-07,876041024,0
2013-07-08,941924992,0
2013-07-09,936377984,0
2013-07-10,1026990016,0
2013-07-11,1064470016,0
2013-07-12,1131229952,0
2013-07-13,1135689984,0
2013-07-14,1150429952,0
2013-07-15,1201260032,0
2013-07-16,1179879936,0
2013-07-17,1184649984,0
2013-07-18,1107879936,0
2013-07-19,1121360000,0
2013-07-20,1123010048,0
2013-07-21,1091520000,0
2013-07-22,1118029952,0
2013-07-23,1165639936,0
2013-07-24,1163449984,0
2013-07-25,1170940032,0
2013-07-26,1176169984,0
2013-07-27,1146230016,0
2013-07-28,1204829952,0
2013-07-29,1231800064,0
2013-07-30,1271990016,0
2013-07-31,1303480064,0
2013-08-01,1255379968,0
2013-08-02,1270659968,0
2013-08-03,1277560064,0
2013-08-04,1331990016,0
2013-08-05,1346589952,0
2013-08-06,1337200000,0
2013-08-07,1335650048,0
2013-08-08,1293760000,0
2013-08-09,1277629952,0
2013-08-10,1289769984,0
2013-08-11,1313890048,0
2013-08-12,1311980032,0
2013-08-13,1343139968,0
2013-08-14,1407699968,0
2013-08-15,1376189952,0
2013-08-16,1368230016,0
2013-08-17,1418150016,0
2013-08-18,1426470016,0
2013-08-19,1489149952,0
2013-08-20,1520220032,0
2013-08-21,1556249984,0
2013-08-22,1526759936,0
2013-08-23,1489049984,0
2013-08-24,1519190016,0
2013-08-25,1533730048,0
2013-08-26,1516780032,0
2013-08-27,1587160064,0
2013-08-28,1565750016,0
2013-08-29,1538919936,0
2013-08-30,1661389952,0
2013-08-31,1754720000,0
2013-09-01,1728009984,0
2013-09-02,1698429952,0
2013-09-03,1709830016,0
2013-09-04,1579459968,0
2013-09-05,1618179968,0
2013-09-06,1522029952,0
2013-09-07,1570040064,0
2013-09-08,1528999936,0
2013-09-09,1585430016,0
2013-09-10,1595299968,0
2013-09-11,1644979968,0
2013-09-12,1691500032,0
2013-09-13,1706579968,0
2013-09-14,1632940032,0
2013-09-15,1648179968,0
2013-09-16,1665849984,0
2013-09-17,1691320064,0
2013-09-18,1704009984,0
2013-09-19,1686669952,0
2013-09-20,1637340032,0
2013-09-21,1639769984,0
2013-09-22,1666969984,0
2013-09-23,1629900032,0
2013-09-24,1642739968,0
2013-09-25,1661330048,0
2013-09-26,1658339968,0
2013-09-27,1753840000,0
2013-09-28,1759190016,0
2013-09-29,1790040064,0
2013-09-30,1707590016,0
2013-10-01,1708780032,0
2013-10-02,1536739968,0
2013-10-03,1584499968,0
2013-10-04,1671000064,0
2013-10-05,1653590016,0
2013-10-06,1663600000,0
2013-10-07,1646569984,0
2013-10-08,1625740032,0
2013-10-09,1677129984,0
2013-10-10,1677740032,0
2013-10-11,1679139968,0
2013-10-12,1739900032,0
2013-10-13,1755059968,0
2013-10-14,1789970048,0
2013-10-15,1838550016,0
2013-10-16,1814400000,0
2013-10-17,1857959936,0
2013-10-18,1965859968,0
2013-10-19,2121250048,0
2013-10-20,2167790080,0
2013-10-21,2281870080,0
2013-10-22,2375719936,0
2013-10-23,2620659968,0
2013-10-24,2417070080,0
2013-10-25,2292760064,0
2013-10-26,2211599872,0
2013-10-27,2426759936,0
2013-10-28,2481750016,0
2013-10-29,2551340032,0
2013-10-30,2515500032,0
2013-10-31,2558040064,0
2013-11-01,2577210112,0
2013-11-02,2595909888,0
2013-11-03,2695209984,0
2013-11-04,2864960000,0
2013-11-05,3039409920,0
2013-11-06,3298990080,0
2013-11-07,3747640064,0
2013-11-08,4169240064,0
2013-11-09,4453429760,0
2013-11-10,3900800000,0
2013-11-11,4273509888,0
