date,market_cap_other,market_volume_other
2013-04-30,96648000,0
2013-05-01,90361400,0
2013-05-02,79980000,0
2013-05-03,57967800,0
2013-05-04,74862704,0
2013-05-05,78874096,0
2013-05-06,81092304,0
2013-05-07,70462096,0
2013-05-08,78317904,0
2013-05-09,77019800,0
2013-05-10,80261504,0
2013-05-11,75701600,0
2013-05-12,72896600,0
2013-05-13,74300800,0
2013-05-14,69518496,0
2013-05-15,65789400,0
2013-05-16,63246100,0
2013-05-17,66867400,0
2013-05-18,71743000,0
2013-05-19,74968600,0
2013-05-20,72043696,0
2013-05-21,70733200,0
2013-05-22,71447200,0
2013-05-23,71023200,0
2013-05-24,70939000,0
2013-05-25,69307904,0
2013-05-26,72537600,0
2013-05-27,71968200,0
2013-05-28,69197104,0
2013-05-29,68770200,0
2013-05-30,67022900,0
2013-05-31,62254300,0
2013-06-01,64162100,0
2013-06-02,60366300,0
2013-06-03,59589300,0
2013-06-04,61467700,0
2013-06-05,64413500,0
2013-06-06,62520500,0
2013-06-07,58977300,0
2013-06-08,56355200,0
2013-06-09,48251900,0
2013-06-10,55861600,0
2013-06-11,50666200,0
2013-06-12,54027200,0
2013-06-13,53766700,0
2013-06-14,50799100,0
2013-06-15,49372900,0
2013-06-16,46407500,0
2013-06-17,49122400,0
2013-06-18,51272500,0
2013-06-19,53052900,0
2013-06-20,53814300,0
2013-06-21,52367600,0
2013-06-22,67317200,0
2013-06-23,68870896,0
2013-06-24,62124400,0
2013-06-25,63150500,0
2013-06-26,63655100,0
2013-06-27,63955600,0
2013-06-28,63066600,0
2013-06-29,62817600,0
2013-06-30,63040900,0
2013-07-01,69160200,0
2013-07-02,63791900,0
2013-07-03,64785000,0
2013-07-04,60295700,0
2013-07-05,58501200,0
2013-07-06,56705600,0
2013-07-07,56017100,0
2013-07-08,59686700,0
2013-07-09,58092500,0
2013-07-10,59310600,0
2013-07-11,62376500,0
2013-07-12,64945800,0
2013-07-13,63548900,0
2013-07-14,64988600,0
2013-07-15,68402400,0
2013-07-16,71025200,0
2013-07-17,72583000,0
2013-07-18,65057600,0
2013-07-19,67703000,0
2013-07-20,69950000,0
2013-07-21,67061900,0
2013-07-22,68335400,0
2013-07-23,69422800,0
2013-07-24,70004496,0
2013-07-25,71695800,0
2013-07-26,69580200,0
2013-07-27,69436800,0
2013-07-28,69730600,0
2013-07-29,72915696,0
2013-07-30,71358800,0
2013-07-31,73042304,0
2013-08-01,72206800,0
2013-08-02,71710200,0
2013-08-03,72271696,0
2013-08-04,74335504,0
2013-08-05,116768000,0
2013-08-06,111359000,0
2013-08-07,105808000,0
2013-08-08,104114000,0
2013-08-09,103532000,0
2013-08-10,102764000,0
2013-08-11,102682000,0
2013-08-12,103417000,0
2013-08-13,103323000,0
2013-08-14,103595000,0
2013-08-15,99046896,0
2013-08-16,96384096,0
2013-08-17,108095000,0
2013-08-18,121286000,0
2013-08-19,117569000,0
2013-08-20,122378000,0
2013-08-21,118418000,0
2013-08-22,118167000,0
2013-08-23,111972000,0
2013-08-24,113756000,0
2013-08-25,115466000,0
2013-08-26,118411000,0
2013-08-27,120181000,0
2013-08-28,115818000,0
2013-08-29,114575000,0
2013-08-30,111332000,0
2013-08-31,117228000,0
2013-09-01,113470000,0
2013-09-02,114071000,0
2013-09-03,111656000,0
2013-09-04,116792000,0
2013-09-05,117809000,0
2013-09-06,117494000,0
