date,neutral,positive,negative
2018-02-01,474,755,624
2018-02-02,476,836,666
2018-02-03,386,651,461
2018-02-04,388,590,490
2018-02-05,480,746,699
2018-02-06,550,797,785
2018-02-07,489,731,651
2018-02-08,514,622,675
2018-02-09,486,615,656
2018-02-10,344,542,522
2018-02-11,413,487,493
2018-02-12,502,531,647
2018-02-13,511,520,611
2018-02-14,480,565,567
2018-02-15,498,562,586
2018-02-16,441,552,544
2018-02-17,357,492,480
2018-02-18,369,484,488
2018-02-19,485,476,534
2018-02-20,435,556,564
2018-02-21,565,569,590
2018-02-22,579,526,594
2018-02-23,451,427,526
2018-02-24,354,396,400
2018-02-25,413,397,478
2018-02-26,503,450,607
2018-02-27,544,455,615
2018-02-28,527,461,558
2018-03-01,583,790,627
2018-03-02,491,751,639
2018-03-03,392,764,486
2018-03-04,448,689,465
2018-03-05,543,716,613
2018-03-06,620,701,616
2018-03-07,584,778,614
2018-03-08,540,756,590
2018-03-09,477,753,581
2018-03-10,464,604,484
2018-03-11,440,621,504
2018-03-12,561,656,560
2018-03-13,607,675,655
2018-03-14,559,681,560
2018-03-15,600,682,554
2018-03-16,519,631,584
2018-03-17,408,550,469
2018-03-18,447,645,500
2018-03-19,562,702,615
2018-03-20,603,679,577
2018-03-21,569,714,558
2018-03-22,601,554,696
2018-03-23,534,623,738
2018-03-24,404,590,429
2018-03-25,423,543,508
2018-03-26,568,585,620
2018-03-27,554,651,613
2018-03-28,556,566,566
2018-03-29,567,605,590
2018-03-30,496,652,490
2018-03-31,435,528,442
2018-04-01,391,576,438
2018-04-02,462,577,548
2018-04-03,501,612,560
2018-04-04,505,593,628
2018-04-05,474,626,554
2018-04-06,536,593,605
2018-04-07,398,503,403
2018-04-08,424,512,484
2018-04-09,558,557,541
2018-04-10,499,547,529
2018-04-11,573,564,508
2018-04-12,590,643,479
2018-04-13,515,688,510
2018-04-14,375,481,436
2018-04-15,430,591,448
2018-04-16,619,637,493
2018-04-17,548,629,533
2018-04-18,586,608,511
2018-04-19,556,629,487
2018-04-20,519,611,447
2018-04-21,404,602,391
2018-04-22,409,592,448
2018-04-23,530,691,523
2018-04-24,600,827,609
2018-04-25,555,721,501
2018-04-26,519,687,477
2018-04-27,436,598,511
2018-04-28,405,581,444
2018-04-29,438,538,457
2018-04-30,568,637,548
2018-05-01,587,712,654
2018-05-02,544,668,697
2018-05-03,554,746,591
2018-05-04,559,732,599
2018-05-05,433,751,463
2018-05-06,457,635,429
2018-05-07,607,638,576
2018-05-08,591,694,521
2018-05-09,548,688,601
2018-05-10,591,718,590
2018-05-11,498,735,570
2018-05-12,409,664,348
2018-05-13,393,667,440
2018-05-14,539,712,598
2018-05-15,529,685,570
2018-05-16,575,676,545
2018-05-17,536,591,552
2018-05-18,516,562,468
2018-05-19,372,513,409
2018-05-20,417,540,447
2018-05-21,550,630,629
2018-05-22,589,613,639
2018-05-23,607,622,588
2018-05-24,575,700,532
2018-05-25,557,620,575
2018-05-26,394,542,337
2018-05-27,397,506,387
2018-05-28,507,564,386
2018-05-29,572,595,572
2018-05-30,560,581,551
2018-05-31,564,612,620
2018-06-01,571,723,710
2018-06-02,524,644,541
2018-06-03,513,628,539
2018-06-04,648,679,642
2018-06-05,617,681,663
2018-06-06,563,707,606
2018-06-07,553,659,609
2018-06-08,543,615,616
2018-06-09,496,621,459
