date,crypto bubble,unemployment,pandemic,war,sp500,buy stock,find job,trade war,virus
2018-02-01,24,79,76,83,23,63,96,87,93
2018-02-02,100,71,91,83,36,59,85,51,90
2018-02-03,28,45,75,80,12,48,65,26,82
2018-02-04,20,72,89,86,7,42,61,30,83
2018-02-05,66,100,69,93,67,69,84,64,87
2018-02-06,59,78,85,88,100,100,93,87,95
2018-02-07,27,71,83,83,54,70,87,80,96
2018-02-08,18,66,80,87,65,71,94,100,94
2018-02-09,25,59,84,85,76,71,78,90,88
2018-02-10,62,39,87,83,19,46,61,42,83
2018-02-11,0,75,100,88,10,40,70,26,84
2018-02-12,18,94,82,88,48,58,90,79,90
2018-02-13,18,75,83,86,40,52,95,71,91
2018-02-14,37,62,74,81,35,57,73,58,90
2018-02-15,28,60,79,85,35,52,82,74,91
2018-02-16,19,54,74,85,30,58,77,56,91
2018-02-17,21,32,81,83,9,40,72,50,92
2018-02-18,21,71,75,91,5,35,62,42,86
2018-02-19,18,79,73,84,14,38,89,44,95
2018-02-20,0,77,69,87,28,51,97,57,98
2018-02-21,36,72,70,86,28,56,94,51,97
2018-02-22,18,64,85,89,29,61,84,64,100
2018-02-23,19,55,73,87,26,50,87,38,91
2018-02-24,0,34,55,82,10,41,63,33,82
2018-02-25,20,70,70,90,8,36,83,23,78
2018-02-26,36,92,69,95,23,48,100,55,89
2018-02-27,18,71,74,97,29,60,98,75,93
2018-02-28,26,64,52,100,29,53,85,60,89
2018-03-01,33,71,76,71,84,100,89,12,91
2018-03-02,35,64,69,71,100,81,88,40,91
2018-03-03,38,37,73,64,28,54,81,31,80
2018-03-04,0,79,67,67,13,49,75,30,85
2018-03-05,0,100,86,65,71,69,100,26,96
2018-03-06,33,82,78,64,74,78,87,23,97
2018-03-07,34,72,75,65,80,76,84,32,96
2018-03-08,51,71,71,65,63,70,74,28,97
2018-03-09,35,66,74,65,77,76,75,21,92
2018-03-10,77,41,70,59,18,59,64,9,87
2018-03-11,38,82,82,65,15,58,68,11,85
2018-03-12,0,96,81,62,57,65,91,14,94
2018-03-13,100,74,83,66,64,79,80,9,100
2018-03-14,50,69,65,62,64,68,79,9,94
2018-03-15,34,65,69,66,56,71,85,13,95
2018-03-16,70,59,56,100,44,69,91,6,89
2018-03-17,58,36,59,95,21,46,66,5,83
2018-03-18,38,74,69,82,15,50,82,7,83
2018-03-19,34,97,65,80,73,72,93,6,95
2018-03-20,34,76,49,74,58,80,96,12,98
2018-03-21,34,65,65,71,55,67,92,10,99
2018-03-22,51,64,100,72,95,81,91,45,97
2018-03-23,71,56,94,72,100,87,69,100,89
2018-03-24,0,31,56,66,34,54,63,44,81
2018-03-25,39,74,66,73,22,48,69,35,82
2018-03-26,0,94,75,69,77,78,90,41,96
2018-03-27,34,73,63,68,94,74,84,30,93
2018-03-28,0,70,59,68,97,72,87,22,91
2018-03-29,72,63,59,66,75,73,80,16,86
2018-03-30,39,54,68,65,44,61,66,10,83
2018-03-31,80,33,60,64,17,43,59,9,77
2018-04-01,91,66,67,17,12,37,61,11,76
2018-04-02,0,100,63,17,98,64,81,42,83
2018-04-03,0,78,68,16,83,100,89,40,86
2018-04-04,50,66,59,17,100,68,88,91,89
2018-04-05,51,64,65,17,61,63,84,59,90
2018-04-06,70,61,65,18,79,56,72,100,84
2018-04-07,0,38,71,17,31,41,66,61,78
2018-04-08,58,77,72,19,14,39,67,61,77
2018-04-09,0,96,68,19,72,55,90,54,87
2018-04-10,0,76,72,18,74,60,98,41,90
2018-04-11,0,67,74,20,76,61,92,28,90
2018-04-12,0,69,68,24,59,58,86,26,89
2018-04-13,53,63,67,22,72,55,73,19,86
2018-04-14,89,38,67,28,18,42,71,11,72
2018-04-15,58,70,79,25,11,44,74,11,76
2018-04-16,0,89,66,24,59,54,90,19,92
2018-04-17,50,82,76,23,51,57,76,18,100
2018-04-18,51,68,54,23,59,70,77,19,90
2018-04-19,0,64,66,25,59,68,100,19,86
2018-04-20,0,57,60,31,50,66,79,20,84
2018-04-21,59,34,53,32,23,42,61,12,75
2018-04-22,58,66,76,36,12,40,66,16,78
2018-04-23,0,92,76,36,66,51,93,19,90
2018-04-24,100,74,67,42,58,63,97,18,90
2018-04-25,0,67,67,53,67,57,90,15,85
2018-04-26,0,63,59,60,53,54,87,16,85
2018-04-27,0,59,79,92,59,55,74,16,77
2018-04-28,0,35,100,100,16,40,67,15,71
2018-04-29,0,65,84,96,15,47,64,15,71
2018-04-30,0,95,78,77,47,61,93,19,78
2018-05-01,49,88,89,100,83,84,72,47,42
2018-05-02,93,75,91,79,100,93,82,40,44
2018-05-03,0,73,89,72,90,92,69,63,43
2018-05-04,49,84,69,70,100,77,56,52,42
2018-05-05,56,47,65,81,33,59,39,45,38
2018-05-06,0,72,70,81,20,57,45,47,37
2018-05-07,0,100,85,65,83,93,61,46,43
2018-05-08,0,80,65,56,68,100,64,44,44
2018-05-09,47,77,87,53,79,87,82,44,45
2018-05-10,71,75,69,53,70,98,70,42,42
2018-05-11,48,61,100,50,73,96,68,34,40
2018-05-12,0,40,64,55,23,61,48,22,35
2018-05-13,55,65,73,57,23,51,56,23,37
2018-05-14,47,97,71,46,84,82,98,31,42
2018-05-15,46,82,80,41,81,85,83,30,42
2018-05-16,46,75,66,40,73,81,92,29,43
2018-05-17,70,67,81,39,57,81,86,30,41
2018-05-18,0,59,74,38,66,73,79,37,42
2018-05-19,54,35,78,42,23,51,57,34,35
2018-05-20,0,66,84,46,15,67,63,64,42
2018-05-21,0,92,100,40,82,71,91,71,82
2018-05-22,62,79,73,35,76,75,100,39,100
2018-05-23,47,71,73,33,61,86,93,40,84
2018-05-24,0,64,76,32,74,83,93,32,78
2018-05-25,100,58,76,32,63,88,63,20,75
2018-05-26,0,33,61,34,23,52,55,14,65
2018-05-27,0,63,74,37,19,52,63,21,58
2018-05-28,0,57,69,34,36,56,64,13,57
2018-05-29,46,87,59,32,84,78,96,32,58
2018-05-30,0,82,72,29,89,79,100,42,58
2018-05-31,48,71,74,30,73,83,87,100,54
2018-06-01,45,80,100,83,88,81,75,58,100
2018-06-02,51,51,96,93,26,56,46,26,96
2018-06-03,0,75,100,100,20,62,55,36,91
2018-06-04,0,96,88,81,76,90,81,33,97
2018-06-05,43,85,84,77,76,100,85,21,92
2018-06-06,0,75,68,77,79,100,85,29,93
2018-06-07,43,69,63,76,69,94,84,22,89
2018-06-08,45,63,91,74,78,85,78,18,84
2018-06-09,0,40,95,85,25,66,52,18,78
2018-06-10,50,76,74,94,25,67,68,25,79
2018-06-11,41,100,97,81,82,87,83,30,88
2018-06-12,0,82,74,78,73,97,87,18,87
2018-06-13,0,74,99,74,72,95,93,18,84
2018-06-14,42,67,58,71,68,89,74,19,78
2018-06-15,45,61,85,69,74,77,78,53,73
2018-06-16,100,36,93,78,36,53,45,61,65
2018-06-17,0,63,81,82,19,53,58,48,68
2018-06-18,0,94,69,68,68,75,95,40,77
2018-06-19,83,76,56,66,83,84,92,100,79
2018-06-20,0,70,73,64,75,95,89,64,79
2018-06-21,0,71,76,64,63,77,87,53,78
2018-06-22,44,62,60,65,74,85,85,47,75
2018-06-23,0,37,90,73,28,59,63,32,72
2018-06-24,0,69,81,77,17,50,57,30,71
2018-06-25,42,98,57,64,100,67,100,71,78
2018-06-26,42,82,75,60,98,74,85,74,79
2018-06-27,0,72,59,61,89,83,82,50,73
2018-06-28,42,70,71,60,79,84,84,49,76
2018-06-29,45,63,72,63,74,77,75,41,74
2018-06-30,49,40,67,67,30,53,42,34,71
2018-07-01,97,68,67,87,16,32,62,17,85
2018-07-02,0,100,48,69,53,49,92,20,90
2018-07-03,86,71,52,71,76,49,93,25,91
2018-07-04,89,41,80,83,47,37,75,24,94
2018-07-05,0,64,59,79,64,47,87,53,96
2018-07-06,86,65,57,79,89,48,70,100,91
2018-07-07,0,35,82,85,34,38,58,53,82
2018-07-08,98,75,83,100,14,35,55,36,90
2018-07-09,0,94,77,80,63,48,95,41,91
2018-07-10,0,76,55,74,71,53,86,28,88
2018-07-11,0,65,53,76,81,52,90,55,91
2018-07-12,88,64,42,74,79,50,86,36,96
2018-07-13,0,58,69,74,77,59,86,31,89
2018-07-14,0,36,88,84,27,36,51,21,83
2018-07-15,100,68,58,93,29,36,60,16,81
2018-07-16,0,93,64,73,62,50,100,19,85
2018-07-17,0,74,68,72,81,55,86,20,95
2018-07-18,0,69,74,73,70,52,95,16,100
2018-07-19,87,61,76,70,73,57,85,18,95
2018-07-20,0,59,84,74,86,50,88,19,89
2018-07-21,0,37,71,88,27,42,56,15,85
2018-07-22,0,66,68,92,25,47,67,17,86
2018-07-23,87,94,86,76,79,54,86,23,90
2018-07-24,87,73,79,72,82,52,90,21,95
2018-07-25,0,65,79,72,89,65,88,29,95
2018-07-26,87,60,88,76,100,100,79,26,98
2018-07-27,0,58,57,75,96,88,68,17,88
2018-07-28,0,34,66,85,25,48,55,14,85
2018-07-29,0,72,100,91,21,51,61,14,95
2018-07-30,0,90,87,81,85,62,98,19,97
2018-07-31,85,72,76,100,92,67,94,17,98
2018-08-01,0,77,86,92,83,89,93,77,86
2018-08-02,46,66,71,86,73,100,97,100,89
2018-08-03,100,73,79,85,76,76,89,84,86
2018-08-04,55,44,94,97,29,56,61,78,82
2018-08-05,0,77,92,100,22,56,56,71,79
2018-08-06,0,100,78,80,61,75,87,84,87
2018-08-07,46,84,58,74,73,84,100,68,90
2018-08-08,0,72,80,73,64,77,84,81,90
2018-08-09,47,67,64,74,64,75,88,89,87
2018-08-10,48,64,83,72,73,67,75,86,86
2018-08-11,0,42,84,82,22,56,66,65,81
2018-08-12,0,84,84,86,24,54,74,57,79
2018-08-13,47,96,85,73,70,57,94,83,88
2018-08-14,79,86,72,75,90,77,89,66,87
2018-08-15,49,77,69,78,84,78,85,91,85
2018-08-16,48,67,66,74,78,82,83,83,88
2018-08-17,49,64,66,76,66,79,85,70,84
2018-08-18,0,40,94,84,26,63,58,52,77
2018-08-19,0,74,100,90,24,46,62,51,73
2018-08-20,49,93,68,76,59,69,99,61,81
2018-08-21,48,80,83,72,78,73,90,70,87
2018-08-22,0,75,65,71,93,67,94,67,89
2018-08-23,0,67,78,68,83,79,85,96,91
2018-08-24,0,63,82,73,84,75,83,76,86
2018-08-25,0,38,92,79,28,56,44,51,79
2018-08-26,0,77,99,95,24,43,53,54,80
2018-08-27,47,90,91,73,77,82,80,63,90
2018-08-28,47,79,78,69,80,90,90,65,92
2018-08-29,0,71,88,68,82,86,79,55,100
2018-08-30,0,68,86,67,100,82,91,67,94
2018-08-31,49,60,84,73,78,80,79,68,88
2018-09-01,77,37,48,95,26,38,57,26,68
2018-09-02,0,66,72,100,21,34,59,26,71
2018-09-03,0,63,66,88,46,41,85,25,76
2018-09-04,0,94,69,86,92,87,94,36,79
2018-09-05,0,87,70,82,80,100,94,38,84
2018-09-06,0,77,63,87,77,73,100,50,80
2018-09-07,0,75,81,88,77,76,81,57,80
2018-09-08,76,43,56,94,41,53,52,40,70
2018-09-09,0,75,77,99,22,42,61,35,69
2018-09-10,66,99,74,85,71,60,94,45,81
2018-09-11,66,81,71,87,71,58,89,55,85
2018-09-12,0,76,69,84,72,57,82,50,88
2018-09-13,0,77,71,83,59,57,77,53,89
2018-09-14,0,66,78,82,82,59,82,39,81
2018-09-15,78,43,59,86,9,29,47,32,75
2018-09-16,76,74,85,94,25,45,67,37,72
2018-09-17,0,99,64,83,69,45,89,63,85
2018-09-18,0,80,56,81,92,53,96,100,86
2018-09-19,100,78,66,82,100,68,86,81,87
2018-09-20,0,71,75,84,86,62,89,67,86
2018-09-21,70,62,67,84,66,66,71,45,80
2018-09-22,78,39,65,87,32,34,60,42,71
2018-09-23,0,71,64,93,22,40,65,43,73
2018-09-24,0,100,83,85,55,62,80,67,86
2018-09-25,0,87,100,80,73,56,99,58,89
2018-09-26,66,80,80,82,73,63,86,55,88
2018-09-27,0,78,81,82,78,57,93,48,85
2018-09-28,0,67,78,79,75,54,70,38,81
2018-09-29,0,41,60,82,29,38,58,26,100
2018-09-30,0,70,67,92,18,44,52,24,70
2018-10-01,0,88,89,92,27,72,89,84,85
2018-10-02,0,78,99,91,27,76,94,88,90
2018-10-03,0,71,85,90,25,75,82,79,90
2018-10-04,49,65,97,90,31,67,87,98,89
2018-10-05,0,77,83,91,32,67,74,91,80
2018-10-06,0,42,86,91,10,46,55,66,74
2018-10-07,55,66,58,92,6,44,50,58,72
2018-10-08,0,82,86,88,31,64,81,78,85
2018-10-09,47,84,75,88,32,62,87,93,100
2018-10-10,0,79,83,86,50,69,85,100,98
2018-10-11,0,72,87,91,100,100,89,93,92
2018-10-12,53,65,80,90,74,89,73,78,86
2018-10-13,0,36,62,92,20,48,54,72,77
2018-10-14,0,66,69,100,15,42,57,62,78
2018-10-15,100,92,86,90,52,62,100,93,91
2018-10-16,50,83,79,90,51,85,98,88,95
2018-10-17,0,74,86,93,43,85,85,77,98
2018-10-18,51,69,92,92,46,69,92,83,96
2018-10-19,52,61,77,91,43,66,69,66,85
2018-10-20,0,38,100,90,16,40,54,63,73
2018-10-21,0,62,81,96,12,45,65,53,77
2018-10-22,49,93,98,93,43,64,82,69,90
2018-10-23,0,76,97,90,57,70,94,84,97
2018-10-24,48,69,73,89,63,64,80,80,96
2018-10-25,49,65,95,91,66,76,90,81,89
2018-10-26,0,64,89,95,69,77,70,78,85
2018-10-27,0,35,91,90,23,47,54,66,70
2018-10-28,0,63,77,97,13,45,54,60,72
2018-10-29,0,100,81,92,49,61,79,78,85
2018-10-30,0,83,81,94,60,66,86,75,89
2018-10-31,0,72,85,90,56,57,76,77,85
2018-11-01,0,62,62,60,74,85,88,86,83
2018-11-02,0,60,72,59,74,93,89,85,84
2018-11-03,0,36,72,57,24,72,59,60,75
2018-11-04,0,68,86,65,23,61,64,51,75
2018-11-05,63,92,72,62,68,94,94,79,91
2018-11-06,67,75,70,60,72,89,80,76,92
2018-11-07,0,66,72,59,78,90,97,66,89
2018-11-08,0,66,92,62,61,100,86,74,89
2018-11-09,70,60,66,68,71,85,79,67,83
2018-11-10,0,36,57,70,23,59,58,35,74
2018-11-11,0,57,84,100,14,53,62,53,73
2018-11-12,67,77,75,72,66,82,100,60,88
2018-11-13,0,83,76,66,79,77,91,76,92
2018-11-14,67,74,67,62,74,84,93,66,89
2018-11-15,0,69,74,63,77,83,91,73,87
2018-11-16,0,57,68,58,63,93,77,72,79
2018-11-17,0,37,71,60,16,61,57,51,73
2018-11-18,0,72,79,66,17,67,61,62,76
2018-11-19,67,87,64,59,78,91,82,74,87
2018-11-20,100,73,69,54,100,95,78,63,86
2018-11-21,69,53,67,51,94,74,74,63,90
2018-11-22,69,28,62,51,29,62,66,49,84
2018-11-23,69,37,100,53,53,68,67,46,80
2018-11-24,0,29,82,59,27,61,58,43,75
2018-11-25,0,61,95,62,17,58,58,50,79
2018-11-26,65,100,87,60,66,88,92,70,93
2018-11-27,65,80,72,59,69,85,89,90,100
2018-11-28,0,75,69,59,63,82,92,84,96
2018-11-29,0,70,87,61,75,81,91,74,93
2018-11-30,0,61,70,60,65,82,78,100,85
2018-12-01,0,38,74,76,13,57,63,67,80
2018-12-02,0,65,72,86,12,50,63,100,85
2018-12-03,0,97,71,81,44,72,95,71,100
2018-12-04,0,78,72,83,59,80,90,57,98
2018-12-05,0,72,70,80,38,75,97,52,99
2018-12-06,54,69,71,84,64,73,96,52,100
2018-12-07,56,67,67,100,64,86,88,49,88
2018-12-08,62,37,78,88,21,55,68,32,81
2018-12-09,0,66,68,88,14,50,72,31,83
2018-12-10,0,100,86,84,61,68,94,46,93
2018-12-11,0,80,86,82,43,71,88,50,97
2018-12-12,0,73,71,82,50,69,100,47,96
2018-12-13,55,66,91,84,42,75,77,41,96
2018-12-14,54,61,83,83,51,76,88,36,90
2018-12-15,0,38,75,78,19,55,53,29,75
2018-12-16,0,64,74,83,8,50,57,24,81
2018-12-17,100,95,74,82,56,64,90,36,92
2018-12-18,0,77,84,78,60,76,74,37,95
2018-12-19,0,73,85,77,61,81,83,33,94
2018-12-20,56,61,73,76,77,93,87,35,91
2018-12-21,59,61,58,70,88,93,62,29,87
2018-12-22,0,37,71,73,32,67,61,20,82
2018-12-23,0,70,69,76,22,56,51,20,79
2018-12-24,0,75,59,72,82,81,63,24,75
2018-12-25,0,37,99,91,43,76,41,23,76
2018-12-26,0,78,98,86,100,100,53,24,83
2018-12-27,0,78,89,83,91,92,83,19,93
2018-12-28,59,71,80,83,72,86,77,23,88
2018-12-29,0,42,100,86,26,68,63,20,88
2018-12-30,0,81,86,92,12,56,64,22,84
2018-12-31,63,95,96,83,47,69,63,23,80
2019-01-01,59,44,100,100,26,56,62,42,74
2019-01-02,50,80,88,88,88,75,79,49,85
2019-01-03,0,75,73,85,87,100,81,72,88
2019-01-04,50,72,95,86,100,87,76,64,92
2019-01-05,0,41,75,89,35,67,54,36,87
2019-01-06,0,74,91,94,21,64,62,54,85
2019-01-07,96,100,82,87,75,73,85,74,92
2019-01-08,48,83,67,87,74,83,77,99,95
2019-01-09,0,75,75,88,77,85,79,100,97
2019-01-10,48,70,74,85,75,80,87,77,97
2019-01-11,100,65,62,86,65,73,76,64,94
2019-01-12,0,38,77,82,22,62,56,41,88
2019-01-13,0,69,72,91,19,57,66,36,87
2019-01-14,0,98,70,89,56,73,85,61,96
2019-01-15,0,79,64,88,64,73,94,63,95
2019-01-16,0,74,58,87,69,95,99,61,97
2019-01-17,94,67,65,86,68,77,77,66,98
2019-01-18,0,62,79,84,66,87,76,77,91
2019-01-19,0,43,55,81,28,52,50,49,82
2019-01-20,51,65,72,84,18,54,58,47,83
2019-01-21,0,76,64,73,34,52,88,45,90
2019-01-22,47,86,68,86,61,73,96,69,93
2019-01-23,0,78,72,81,72,61,89,68,98
2019-01-24,0,72,79,83,50,67,85,54,98
2019-01-25,0,64,66,82,56,74,77,61,90
2019-01-26,0,39,75,82,20,59,56,39,80
2019-01-27,53,71,86,89,14,58,58,42,85
2019-01-28,0,87,70,82,66,73,100,55,96
2019-01-29,0,73,73,82,56,79,88,66,100
2019-01-30,0,64,58,80,59,86,86,59,98
2019-01-31,0,67,61,81,57,85,80,68,95
2019-02-01,92,76,86,71,68,83,82,75,86
2019-02-02,0,46,91,66,20,65,70,49,83
2019-02-03,0,76,75,69,19,48,64,57,80
2019-02-04,0,100,76,70,74,99,83,70,89
2019-02-05,90,87,84,71,100,93,99,78,90
2019-02-06,0,86,95,69,84,100,88,75,92
2019-02-07,0,73,73,71,78,88,94,81,94
