date,inflation,traiding,passive income,economic crisis,investing,crisis,gold
2018-02-01,65,89,61,47,77,55,80
2018-02-02,59,74,67,64,76,53,83
2018-02-03,40,76,66,39,39,40,86
2018-02-04,48,75,72,25,38,44,86
2018-02-05,69,94,55,40,85,56,81
2018-02-06,83,81,71,74,100,58,83
2018-02-07,70,82,45,74,85,54,79
2018-02-08,69,83,71,69,85,55,82
2018-02-09,57,68,69,77,81,51,83
2018-02-10,39,50,59,28,36,40,92
2018-02-11,48,63,64,57,38,46,97
2018-02-12,65,84,72,50,83,54,94
2018-02-13,70,84,69,63,74,55,96
2018-02-14,100,55,59,44,75,49,98
2018-02-15,72,90,63,57,73,52,91
2018-02-16,57,46,66,65,69,49,89
2018-02-17,40,57,43,43,34,42,98
2018-02-18,46,38,74,42,35,44,90
2018-02-19,56,100,51,75,66,51,86
2018-02-20,59,44,60,34,73,73,92
2018-02-21,62,99,79,61,75,100,89
2018-02-22,63,100,70,100,71,78,97
2018-02-23,56,86,43,48,68,58,92
2018-02-24,40,50,51,32,34,47,100
2018-02-25,48,73,71,45,35,46,95
2018-02-26,65,76,64,79,71,62,86
2018-02-27,66,97,100,70,71,60,80
2018-02-28,62,97,98,63,69,63,75
2018-03-01,73,68,88,89,87,94,84
2018-03-02,60,81,78,13,88,86,85
2018-03-03,47,26,58,56,43,69,93
2018-03-04,55,52,65,64,44,77,91
2018-03-05,75,41,54,97,100,89,87
2018-03-06,73,100,85,89,95,93,85
2018-03-07,77,60,83,94,90,95,85
2018-03-08,64,46,75,95,86,89,85
2018-03-09,68,43,56,52,89,82,87
2018-03-10,51,74,80,56,41,67,95
2018-03-11,56,31,67,78,41,76,91
2018-03-12,74,73,57,89,95,88,85
2018-03-13,76,73,100,89,90,93,86
2018-03-14,70,64,69,93,88,92,83
2018-03-15,68,88,79,91,91,94,89
2018-03-16,57,81,43,67,85,86,100
2018-03-17,47,74,63,33,35,62,94
2018-03-18,53,47,57,84,39,77,90
2018-03-19,77,65,67,82,87,99,85
2018-03-20,78,64,89,90,98,98,86
2018-03-21,75,74,63,78,95,98,86
2018-03-22,74,61,86,100,95,100,85
2018-03-23,64,67,71,68,91,86,87
2018-03-24,46,43,68,34,46,72,95
2018-03-25,52,38,61,57,44,78,93
