date,buy crypto,crypto,satoshi,crypto exchange,bitcoin,altcoins,coinmarketcap,btc,blockchain
2018-02-01,83,87,96,100,60,88,79,62,100
2018-02-02,98,100,100,83,79,100,100,77,99
2018-02-03,100,62,84,69,51,67,84,63,71
2018-02-04,59,62,72,75,45,84,70,53,70
2018-02-05,86,94,89,63,77,81,84,80,92
2018-02-06,100,98,89,69,100,57,95,100,89
2018-02-07,87,69,100,69,62,91,83,73,97
2018-02-08,64,62,73,79,52,68,73,61,90
2018-02-09,89,57,81,73,45,56,75,52,87
2018-02-10,80,53,78,62,39,51,72,47,60
2018-02-11,58,48,82,44,34,56,60,44,61
2018-02-12,71,54,64,50,39,64,61,45,83
2018-02-13,58,51,73,60,34,57,55,44,88
2018-02-14,77,52,70,64,35,68,65,42,92
2018-02-15,62,54,91,54,38,50,68,48,97
2018-02-16,86,50,72,55,34,61,62,43,89
2018-02-17,55,49,73,50,33,49,70,46,67
2018-02-18,62,45,73,38,33,61,61,43,68
2018-02-19,46,47,67,45,30,50,59,41,91
2018-02-20,61,53,71,56,34,78,63,44,96
2018-02-21,83,54,78,59,34,67,58,40,96
2018-02-22,60,51,70,69,32,59,56,37,92
2018-02-23,60,46,59,40,28,23,53,35,83
2018-02-24,42,40,74,30,25,33,51,34,67
2018-02-25,41,37,80,40,23,40,44,33,59
2018-02-26,39,44,64,46,26,57,51,37,86
2018-02-27,58,43,77,41,27,31,49,35,94
2018-02-28,48,42,73,51,26,55,47,33,86
2018-03-01,80,88,96,79,78,100,95,84,90
2018-03-02,84,86,100,62,78,80,93,87,81
2018-03-03,100,77,86,100,74,76,96,90,65
2018-03-04,58,75,95,90,68,71,91,78,63
2018-03-05,74,85,81,65,78,59,98,84,92
2018-03-06,59,87,81,76,77,52,86,84,99
2018-03-07,66,100,81,80,90,70,100,91,100
2018-03-08,55,89,85,95,88,81,87,89,87
2018-03-09,79,94,80,81,96,48,98,94,83
2018-03-10,49,74,77,64,71,48,84,80,57
2018-03-11,55,74,79,71,70,56,79,77,60
2018-03-12,53,81,77,66,79,45,84,78,93
2018-03-13,45,85,85,62,75,73,76,74,100
2018-03-14,65,100,78,62,88,35,79,79,95
2018-03-15,27,99,78,53,100,49,91,94,91
2018-03-16,56,76,67,58,80,51,79,81,83
2018-03-17,52,77,59,40,74,44,69,76,59
2018-03-18,44,99,64,40,90,71,91,88,58
2018-03-19,57,86,63,52,86,88,92,91,87
2018-03-20,69,83,66,66,80,45,80,94,96
2018-03-21,91,84,78,60,79,53,79,100,90
2018-03-22,27,73,70,43,75,21,76,71,98
2018-03-23,60,65,92,58,70,44,76,73,85
2018-03-24,78,60,77,66,61,37,75,72,64
2018-03-25,60,62,91,37,61,37,69,66,60
2018-03-26,34,83,79,32,82,37,79,75,84
2018-03-27,52,76,79,92,75,46,79,71,81
2018-03-28,38,74,69,36,71,51,72,68,87
2018-03-29,42,86,65,60,83,34,78,79,78
2018-03-30,59,87,76,48,94,36,88,95,69
2018-03-31,40,55,72,50,70,46,70,76,49
2018-04-01,59,81,44,38,90,75,65,77,47
2018-04-02,45,75,38,44,100,56,63,78,78
2018-04-03,46,86,47,63,93,43,68,82,84
2018-04-04,45,80,48,49,86,58,62,81,84
2018-04-05,25,82,76,50,93,74,61,80,85
2018-04-06,59,75,50,66,93,41,54,77,78
2018-04-07,49,60,48,39,77,56,54,68,52
2018-04-08,48,53,50,50,71,66,52,66,56
2018-04-09,38,76,44,56,83,43,56,78,83
2018-04-10,35,78,34,53,83,43,52,71,98
2018-04-11,42,72,36,56,77,62,59,69,91
2018-04-12,67,87,34,49,95,53,80,88,90
2018-04-13,70,86,39,71,97,61,89,97,78
2018-04-14,37,63,32,48,73,28,66,78,56
2018-04-15,40,67,100,45,70,67,70,78,54
2018-04-16,59,74,64,77,78,62,63,80,80
2018-04-17,66,86,43,48,75,72,75,74,90
2018-04-18,71,78,47,52,77,44,72,74,93
2018-04-19,72,86,44,50,76,50,78,79,94
2018-04-20,63,90,41,43,76,41,88,83,86
2018-04-21,66,77,40,63,73,62,79,79,63
2018-04-22,69,74,48,48,72,62,80,76,63
2018-04-23,76,78,46,60,78,100,77,76,100
2018-04-24,100,100,50,93,92,100,100,100,92
2018-04-25,70,96,40,65,86,91,91,92,90
2018-04-26,74,80,47,100,71,82,70,78,85
2018-04-27,56,85,36,59,71,51,74,82,84
2018-04-28,54,74,45,63,62,74,75,78,56
2018-04-29,41,84,41,65,62,28,80,76,61
2018-04-30,47,90,50,83,66,59,82,77,83
2018-05-01,68,85,91,92,83,43,84,91,75
2018-05-02,51,86,68,89,84,47,82,84,77
2018-05-03,62,89,93,75,92,51,100,95,89
2018-05-04,64,86,76,97,88,49,99,98,75
2018-05-05,100,82,100,81,89,60,88,100,51
2018-05-06,51,72,83,73,84,51,81,86,54
2018-05-07,48,82,83,66,89,29,78,88,75
2018-05-08,54,84,81,95,88,38,84,86,84
2018-05-09,78,80,75,81,84,38,75,89,88
2018-05-10,49,83,78,82,83,100,76,84,83
2018-05-11,78,100,77,75,100,49,80,99,77
2018-05-12,80,71,100,74,80,41,75,88,55
2018-05-13,52,75,92,91,77,66,75,80,59
2018-05-14,58,86,76,96,87,54,75,87,93
2018-05-15,73,80,76,100,80,28,71,87,90
2018-05-16,58,87,81,72,81,47,67,83,100
2018-05-17,51,79,75,57,78,25,62,79,85
2018-05-18,36,74,84,57,76,13,63,78,81
2018-05-19,40,65,73,60,65,22,58,77,53
2018-05-20,32,70,73,53,67,49,63,78,55
2018-05-21,74,74,79,80,73,36,62,79,73
2018-05-22,54,74,83,66,76,35,60,81,84
2018-05-23,34,89,78,54,90,41,62,93,81
2018-05-24,83,76,95,89,90,23,65,93,86
2018-05-25,47,73,74,99,79,30,60,84,74
2018-05-26,32,59,87,67,66,61,53,70,47
2018-05-27,40,56,80,63,69,17,57,74,50
2018-05-28,31,75,75,77,76,29,57,74,70
2018-05-29,44,69,74,74,81,28,61,85,79
2018-05-30,56,73,79,39,75,32,62,79,86
2018-05-31,42,72,92,92,70,16,66,79,83
2018-06-01,100,85,82,82,61,54,93,79,87
2018-06-02,88,76,77,49,58,60,97,77,62
2018-06-03,68,73,89,49,57,40,100,79,73
2018-06-04,47,81,74,69,63,68,99,78,100
2018-06-05,68,85,83,72,65,51,83,76,98
2018-06-06,90,86,75,75,63,60,84,76,98
2018-06-07,63,79,91,66,61,51,83,73,92
2018-06-08,60,77,94,41,59,62,65,74,83
2018-06-09,68,62,88,62,53,80,79,73,56
2018-06-10,37,86,89,62,77,100,97,88,59
2018-06-11,82,95,87,100,100,66,96,100,93
2018-06-12,97,87,91,82,82,62,86,90,86
2018-06-13,88,100,83,67,92,71,91,93,85
2018-06-14,67,85,81,36,78,25,89,100,95
2018-06-15,61,70,64,70,66,36,75,82,80
2018-06-16,68,57,96,32,58,20,78,79,54
2018-06-17,55,59,95,35,60,69,70,73,57
2018-06-18,52,72,75,80,69,59,73,81,82
2018-06-19,57,73,79,52,65,50,79,86,90
2018-06-20,73,75,79,63,66,59,69,79,93
2018-06-21,100,77,100,78,59,25,68,74,93
2018-06-22,43,88,99,66,75,35,84,85,80
2018-06-23,90,68,64,41,65,29,73,88,53
2018-06-24,66,78,82,54,75,49,86,93,56
2018-06-25,51,81,65,57,68,33,82,87,82
2018-06-26,41,75,90,55,64,42,75,83,86
2018-06-27,57,75,72,57,64,0,73,80,84
2018-06-28,89,71,90,42,61,25,69,73,90
2018-06-29,50,79,72,59,79,18,79,88,78
2018-06-30,45,60,75,39,69,49,84,91,49
2018-07-01,32,61,62,34,63,38,62,64,58
2018-07-02,63,77,100,65,75,45,72,69,77
2018-07-03,33,81,90,59,73,56,67,66,87
2018-07-04,53,80,69,78,68,35,69,70,94
2018-07-05,53,75,66,47,69,52,65,65,84
2018-07-06,35,67,60,56,63,23,61,60,81
2018-07-07,64,56,60,52,52,96,51,54,53
2018-07-08,38,64,76,72,60,49,62,60,52
2018-07-09,46,68,68,62,63,22,62,63,80
2018-07-10,54,76,79,38,67,22,58,63,81
2018-07-11,61,72,71,52,61,23,57,63,93
2018-07-12,77,76,67,85,67,52,56,66,90
2018-07-13,20,68,82,38,64,36,51,63,79
2018-07-14,77,55,73,46,57,70,54,55,55
2018-07-15,38,59,73,57,55,59,45,55,56
2018-07-16,48,72,56,67,66,61,59,63,84
2018-07-17,33,89,86,46,86,17,80,79,94
2018-07-18,87,100,97,81,95,46,89,94,98
2018-07-19,38,86,80,64,81,75,74,78,92
2018-07-20,35,81,78,84,75,78,65,74,90
2018-07-21,83,65,87,58,64,40,54,65,55
2018-07-22,39,70,77,47,63,100,58,64,56
2018-07-23,53,78,77,77,79,58,61,78,90
2018-07-24,100,86,100,100,100,91,100,100,100
2018-07-25,95,82,88,86,94,40,84,91,92
2018-07-26,52,85,69,73,84,51,72,81,89
2018-07-27,63,75,67,64,84,29,67,71,83
2018-07-28,49,55,82,61,66,91,60,71,56
2018-07-29,49,62,94,50,66,99,62,65,57
2018-07-30,48,77,72,90,76,57,63,75,89
2018-07-31,60,81,74,55,78,50,57,72,92
2018-08-01,71,76,84,68,78,46,84,83,93
2018-08-02,50,77,100,87,76,51,66,81,89
2018-08-03,33,78,96,65,78,84,80,86,81
2018-08-04,28,71,86,80,73,46,74,84,56
2018-08-05,23,59,92,54,71,46,70,78,55
2018-08-06,36,67,74,47,76,60,70,85,85
2018-08-07,51,83,80,64,78,39,78,87,92
2018-08-08,54,100,84,78,100,71,86,99,89
2018-08-09,32,82,85,54,81,53,81,89,91
2018-08-10,45,66,61,63,77,51,78,90,86
2018-08-11,48,76,72,91,79,46,89,92,61
2018-08-12,45,65,74,53,71,30,69,77,56
2018-08-13,71,85,79,65,78,66,81,86,88
2018-08-14,59,100,97,87,98,60,100,100,90
2018-08-15,57,81,84,82,90,68,91,91,80
2018-08-16,44,76,79,96,77,54,83,84,81
2018-08-17,69,74,62,71,74,34,93,82,80
2018-08-18,56,64,77,68,64,39,71,72,56
2018-08-19,46,57,84,59,61,38,64,69,54
2018-08-20,53,81,70,71,72,61,67,81,86
2018-08-21,28,79,74,51,74,47,64,80,88
2018-08-22,25,69,62,68,82,76,76,85,90
2018-08-23,36,71,76,51,72,61,69,78,86
2018-08-24,34,71,85,69,70,31,73,84,88
2018-08-25,55,57,94,63,62,80,65,77,56
2018-08-26,51,66,86,84,62,100,68,75,55
2018-08-27,28,67,71,61,70,86,76,78,100
2018-08-28,59,86,88,82,82,46,87,85,99
2018-08-29,100,71,82,100,74,26,92,88,98
2018-08-30,39,81,86,79,74,72,72,84,99
2018-08-31,57,71,85,70,67,31,73,87,83
2018-09-01,37,70,83,87,66,63,63,61,56
2018-09-02,70,67,75,66,67,57,53,56,59
2018-09-03,48,70,74,86,71,38,60,54,72
2018-09-04,78,76,98,91,77,55,57,53,95
2018-09-05,23,91,83,60,92,54,66,61,90
2018-09-06,28,100,75,83,100,100,65,69,90
2018-09-07,34,81,97,100,79,45,54,65,81
2018-09-08,69,68,96,78,65,49,51,76,55
2018-09-09,47,64,71,52,66,28,50,58,52
2018-09-10,50,77,91,94,74,48,51,56,83
2018-09-11,46,82,90,75,76,46,50,58,88
2018-09-12,60,93,75,90,81,97,55,56,91
2018-09-13,52,78,82,77,78,62,54,56,85
2018-09-14,72,73,92,79,71,57,53,56,73
2018-09-15,53,64,75,44,62,74,43,100,57
2018-09-16,78,57,62,39,58,42,42,82,49
2018-09-17,51,72,56,65,66,36,43,55,85
2018-09-18,59,77,86,90,65,48,50,53,83
2018-09-19,48,69,74,53,68,67,50,53,86
2018-09-20,37,86,78,72,67,45,52,55,87
2018-09-21,100,94,93,63,74,38,100,59,80
2018-09-22,59,67,78,79,63,49,72,55,62
2018-09-23,47,66,100,68,58,69,63,49,60
2018-09-24,60,74,77,98,64,37,57,52,87
2018-09-25,68,79,89,97,67,27,47,84,93
2018-09-26,68,83,75,63,67,24,57,61,100
2018-09-27,33,77,81,50,64,43,55,54,90
2018-09-28,53,83,95,63,64,48,53,54,88
2018-09-29,40,80,72,66,53,32,49,53,63
2018-09-30,31,66,93,52,53,55,47,50,59
2018-10-01,36,100,79,65,70,36,93,86,83
2018-10-02,78,95,75,69,74,89,79,81,92
2018-10-03,90,91,84,55,74,89,74,83,79
2018-10-04,49,83,77,49,73,63,76,83,90
2018-10-05,82,84,95,62,70,37,77,77,84
2018-10-06,91,81,73,63,63,41,70,81,54
2018-10-07,40,57,77,44,59,0,62,73,58
2018-10-08,73,75,86,56,72,54,77,91,95
2018-10-09,47,90,68,73,74,39,76,85,91
2018-10-10,86,80,73,60,76,27,73,83,87
2018-10-11,31,97,82,71,100,46,82,100,91
2018-10-12,72,76,93,71,80,87,83,88,93
2018-10-13,100,55,53,54,69,80,69,77,60
2018-10-14,63,53,80,42,66,83,69,76,51
2018-10-15,0,78,78,54,88,64,100,95,88
2018-10-16,74,73,66,100,77,95,82,89,91
2018-10-17,37,83,90,40,70,54,77,84,91
2018-10-18,75,68,78,48,75,65,72,85,85
2018-10-19,32,62,71,52,68,100,63,82,77
2018-10-20,42,67,62,61,60,31,59,81,56
2018-10-21,42,59,80,68,59,72,59,78,55
2018-10-22,67,66,85,66,69,90,76,84,90
2018-10-23,30,70,96,59,72,89,70,82,100
2018-10-24,65,72,89,78,70,70,72,81,93
2018-10-25,55,68,69,76,69,40,65,82,88
2018-10-26,48,63,75,73,67,28,62,71,74
2018-10-27,81,48,73,48,60,80,54,70,54
2018-10-28,54,51,54,73,56,60,56,66,60
2018-10-29,88,67,65,73,71,61,63,72,88
2018-10-30,54,67,92,66,70,62,66,76,84
2018-10-31,74,66,100,57,74,27,59,72,83
2018-11-01,45,63,66,62,40,37,51,47,90
2018-11-02,72,60,89,80,40,55,43,55,88
2018-11-03,61,47,71,44,34,60,40,46,60
2018-11-04,47,54,73,76,38,100,46,44,61
2018-11-05,75,66,73,65,41,74,49,48,97
2018-11-06,73,66,62,71,43,26,63,44,97
2018-11-07,77,62,59,56,40,67,55,44,97
2018-11-08,57,63,59,60,39,51,53,46,95
2018-11-09,55,57,60,68,38,45,49,44,91
2018-11-10,61,53,72,47,31,74,39,41,63
2018-11-11,62,51,54,42,33,68,42,43,68
2018-11-12,47,62,62,78,37,43,46,43,83
2018-11-13,63,64,70,47,39,64,45,48,99
2018-11-14,48,92,77,48,61,26,64,68,97
2018-11-15,80,75,69,100,71,26,82,72,100
2018-11-16,71,60,87,57,53,67,62,66,94
2018-11-17,86,53,71,16,44,90,58,56,66
2018-11-18,45,53,72,43,40,68,50,48,63
2018-11-19,48,87,65,79,69,26,81,77,91
2018-11-20,100,100,78,68,100,39,100,100,92
2018-11-21,64,74,68,73,78,66,73,75,88
2018-11-22,76,59,62,74,58,98,61,67,79
2018-11-23,27,58,57,57,61,36,61,67,76
2018-11-24,71,54,66,65,55,39,57,64,57
2018-11-25,83,75,63,27,85,44,87,98,54
2018-11-26,77,71,56,73,81,84,78,80,100
2018-11-27,83,69,67,70,74,26,62,79,95
2018-11-28,52,66,75,54,69,26,63,73,96
2018-11-29,37,62,52,59,61,39,65,69,99
2018-11-30,32,59,100,47,55,70,54,61,84
2018-12-01,69,57,80,69,63,79,64,56,60
2018-12-02,80,55,100,34,58,62,62,50,57
2018-12-03,54,75,85,85,71,64,56,60,100
2018-12-04,88,83,64,60,73,37,64,62,97
2018-12-05,38,81,79,81,69,41,67,59,91
2018-12-06,67,82,71,100,76,74,75,62,95
2018-12-07,69,100,79,68,100,29,91,77,79
2018-12-08,19,74,72,70,71,32,68,63,55
2018-12-09,100,64,55,44,65,47,64,56,60
2018-12-10,50,74,60,95,74,56,65,60,87
2018-12-11,38,74,83,51,68,55,61,76,85
2018-12-12,62,68,83,44,65,47,60,100,88
2018-12-13,40,71,67,76,67,86,56,59,88
2018-12-14,39,75,88,75,74,28,66,57,80
2018-12-15,53,67,70,46,70,83,62,59,58
2018-12-16,87,59,64,45,60,65,55,53,57
2018-12-17,41,72,61,45,74,39,66,68,78
2018-12-18,72,79,65,58,74,53,67,57,85
2018-12-19,70,91,63,87,78,29,97,69,74
2018-12-20,35,84,83,69,83,59,100,72,71
2018-12-21,49,83,59,87,76,93,86,65,74
2018-12-22,53,73,66,26,59,100,69,56,44
2018-12-23,67,76,61,69,60,34,74,54,53
2018-12-24,60,82,61,52,68,68,98,70,59
2018-12-25,42,64,70,72,68,71,84,59,53
2018-12-26,44,67,59,44,66,31,69,56,55
2018-12-27,99,77,63,71,64,40,68,57,61
2018-12-28,46,71,51,53,64,41,72,54,63
2018-12-29,64,63,61,56,58,65,66,53,50
2018-12-30,26,56,58,57,54,0,63,49,42
2018-12-31,59,55,55,36,52,33,58,46,53
2019-01-01,69,63,56,49,80,53,88,84,45
2019-01-02,58,74,56,58,89,30,100,96,70
2019-01-03,100,78,68,46,90,88,94,97,74
2019-01-04,72,78,63,62,88,69,75,84,76
2019-01-05,63,69,78,17,72,54,86,81,50
2019-01-06,87,72,100,62,78,0,78,89,57
2019-01-07,83,81,63,100,84,67,93,95,81
2019-01-08,89,79,58,54,82,100,87,94,84
2019-01-09,63,77,63,45,83,58,85,97,85
2019-01-10,62,100,54,35,100,29,100,100,89
2019-01-11,43,91,59,47,83,74,84,98,80
2019-01-12,70,69,66,67,74,75,68,82,55
2019-01-13,78,64,60,39,74,96,68,84,59
2019-01-14,68,77,64,29,82,56,78,97,79
2019-01-15,54,82,69,59,79,75,79,90,81
2019-01-16,48,77,59,49,76,94,76,87,90
2019-01-17,82,80,71,44,74,28,66,87,88
2019-01-18,42,69,57,31,71,44,69,79,73
2019-01-19,77,56,79,56,66,53,64,89,54
2019-01-20,67,58,66,48,64,61,61,80,56
2019-01-21,41,73,67,74,69,70,66,81,77
2019-01-22,41,74,66,49,70,56,67,84,87
2019-01-23,53,68,74,48,69,28,65,73,88
2019-01-24,81,69,71,39,70,55,68,79,100
2019-01-25,93,57,45,40,68,57,59,86,90
2019-01-26,47,59,68,78,60,54,65,81,59
2019-01-27,70,65,59,61,61,64,71,72,55
2019-01-28,67,74,50,53,79,55,71,85,86
2019-01-29,40,74,56,34,77,41,78,84,79
2019-01-30,60,70,57,38,71,28,68,83,86
2019-01-31,54,71,55,54,69,56,70,80,84
2019-02-01,37,69,40,61,73,35,57,74,76
2019-02-02,81,60,38,29,68,58,49,72,57
2019-02-03,60,63,41,19,67,0,49,71,55
2019-02-04,36,82,32,91,80,76,56,78,74
2019-02-05,18,100,34,100,97,26,63,79,89
2019-02-06,35,83,42,87,89,42,55,75,85
2019-02-07,97,81,32,51,82,0,60,76,94
2019-02-08,64,77,31,61,85,26,67,76,74
2019-02-09,30,69,37,45,81,29,83,81,51
2019-02-10,40,63,43,22,71,57,63,64,57
2019-02-11,43,77,34,55,83,25,64,79,87
2019-02-12,52,73,36,64,74,25,61,79,100
2019-02-13,44,75,33,58,76,100,60,74,93
2019-02-14,80,75,36,40,74,76,59,69,93
2019-02-15,74,67,38,38,69,40,59,68,80
2019-02-16,51,65,35,39,63,29,57,69,56
2019-02-17,82,62,46,36,68,59,60,69,58
2019-02-18,62,95,39,48,91,76,96,94,86
2019-02-19,79,94,42,47,100,50,99,97,96
2019-02-20,79,84,33,25,90,42,86,93,87
2019-02-21,79,82,41,56,87,51,77,82,84
2019-02-22,64,77,34,38,79,66,76,92,84
2019-02-23,30,68,37,32,80,29,80,85,59
2019-02-24,100,80,100,38,94,58,100,100,57
2019-02-25,17,74,41,33,88,50,81,90,93
2019-02-26,70,87,35,28,80,25,71,80,89
2019-02-27,59,72,30,46,75,24,64,73,85
2019-02-28,62,69,37,42,72,25,61,73,83
2019-03-01,100,83,59,74,94,72,76,94,88
2019-03-02,63,83,62,56,84,96,68,94,58
2019-03-03,63,82,63,86,82,53,72,89,66
2019-03-04,74,84,67,68,96,28,72,91,83
2019-03-05,84,87,61,86,99,43,74,90,92
2019-03-06,71,86,63,48,100,41,89,93,98
2019-03-07,70,92,61,77,99,57,90,94,89
2019-03-08,44,91,58,66,89,59,77,92,80
2019-03-09,65,84,72,73,90,33,81,95,58
2019-03-10,70,82,53,90,83,31,68,84,53
2019-03-11,83,91,60,54,92,84,85,90,94
2019-03-12,76,95,61,80,91,83,85,91,92
2019-03-13,62,96,54,49,88,65,73,89,91
2019-03-14,97,100,66,63,86,93,76,84,92
2019-03-15,65,89,64,46,88,57,82,75,87
2019-03-16,32,82,65,41,90,64,87,93,64
2019-03-17,59,87,65,71,84,32,95,87,52
2019-03-18,32,95,67,68,95,86,86,91,100
2019-03-19,74,93,67,60,99,90,92,93,89
2019-03-20,71,93,74,100,97,29,86,92,91
2019-03-21,71,95,68,78,100,67,88,100,90
2019-03-22,58,89,53,52,92,49,93,94,84
2019-03-23,48,73,100,98,85,43,87,91,60
2019-03-24,73,76,90,47,79,49,85,82,67
2019-03-25,21,88,61,54,88,29,83,85,96
2019-03-26,95,93,59,50,87,42,76,91,93
2019-03-27,53,86,69,50,97,100,90,89,94
2019-03-28,64,95,47,69,91,43,92,93,93
2019-03-29,33,82,73,62,98,30,100,97,81
2019-03-30,74,82,63,58,84,44,86,98,58
2019-03-31,56,75,61,57,79,32,87,85,57
2019-04-01,64,52,56,35,43,20,43,36,76
2019-04-02,43,90,59,70,95,40,87,70,91
2019-04-03,100,100,54,100,100,90,100,72,88
2019-04-04,86,73,59,23,75,40,78,57,83
2019-04-05,59,59,49,48,61,41,61,45,69
2019-04-06,49,52,67,40,51,45,54,46,55
2019-04-07,49,60,73,53,52,80,52,43,57
2019-04-08,56,66,62,31,63,49,59,48,80
2019-04-09,28,64,46,46,56,19,46,43,85
2019-04-10,42,61,57,42,57,59,51,45,82
2019-04-11,22,66,69,43,58,40,47,45,81
2019-04-12,60,83,63,37,51,21,41,40,72
2019-04-13,83,79,92,45,42,58,38,37,52
2019-04-14,33,70,53,49,43,46,40,35,55
2019-04-15,65,71,62,43,51,81,43,42,73
2019-04-16,58,63,79,55,51,40,41,39,82
2019-04-17,59,67,71,56,51,21,40,39,85
2019-04-18,84,67,63,50,47,21,41,41,78
2019-04-19,57,61,69,18,49,0,40,36,73
2019-04-20,52,64,67,23,45,24,45,39,52
2019-04-21,43,60,65,38,43,48,39,36,60
2019-04-22,23,55,63,45,48,43,39,39,81
2019-04-23,29,67,68,55,61,30,50,51,94
2019-04-24,43,66,100,20,56,100,47,45,100
2019-04-25,44,63,64,27,54,81,42,45,93
2019-04-26,37,69,61,32,54,52,41,62,86
2019-04-27,57,55,69,31,41,22,34,100,65
2019-04-28,32,53,68,35,41,22,34,43,63
2019-04-29,28,54,55,34,44,19,32,39,88
2019-04-30,50,60,60,39,44,40,32,39,93
2019-05-01,20,54,32,25,33,31,36,36,85
2019-05-02,34,57,38,46,35,43,36,36,92
2019-05-03,24,63,47,32,45,20,47,48,94
2019-05-04,22,58,55,30,39,16,42,44,68
2019-05-05,30,56,50,39,37,32,37,41,66
2019-05-06,26,58,44,45,38,35,35,38,87
2019-05-07,23,60,48,30,45,28,41,47,94
2019-05-08,35,63,36,57,46,57,46,44,97
2019-05-09,23,59,45,35,51,43,47,51,95
2019-05-10,48,64,44,40,54,100,52,55,81
2019-05-11,36,79,49,40,70,67,78,75,67
